keyword,name,category,address,phone,open_hours,description,menu,price,image
대구 중구 배달 중식,유창반점,중식당,대구 중구 명륜로 20,053-254-7297,,계산오거리에서 남문시장 방향 근처에 있는 중식당입니다. 돼지고기와 오징어로 국물을 낸 짬뽕과 매콤한 중화비빔밥이 인기 메뉴입니다,유창짬뽕,"9,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230220_174%2F1676853415556guMGO_JPEG%2FScreenshot_20230220-090806.jpg
대구 중구 배달 중식,유창반점,중식당,대구 중구 명륜로 20,053-254-7297,,계산오거리에서 남문시장 방향 근처에 있는 중식당입니다. 돼지고기와 오징어로 국물을 낸 짬뽕과 매콤한 중화비빔밥이 인기 메뉴입니다,중화비빔밥,"9,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230220_282%2F16768545614835LfUf_JPEG%2FScreenshot_20230220-095532_Samsung_Internet.jpg
대구 중구 배달 중식,유창반점,중식당,대구 중구 명륜로 20,053-254-7297,,계산오거리에서 남문시장 방향 근처에 있는 중식당입니다. 돼지고기와 오징어로 국물을 낸 짬뽕과 매콤한 중화비빔밥이 인기 메뉴입니다,매콤중화짜장,"8,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230220_291%2F16768543069008F7JD_JPEG%2F20230220_095058.jpg
대구 중구 배달 중식,유창반점,중식당,대구 중구 명륜로 20,053-254-7297,,계산오거리에서 남문시장 방향 근처에 있는 중식당입니다. 돼지고기와 오징어로 국물을 낸 짬뽕과 매콤한 중화비빔밥이 인기 메뉴입니다,미니탕수육,"13,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230220_153%2F1676854321595onG9w_JPEG%2F20230220_095111.jpg
대구 중구 배달 중식,유창반점,중식당,대구 중구 명륜로 20,053-254-7297,,계산오거리에서 남문시장 방향 근처에 있는 중식당입니다. 돼지고기와 오징어로 국물을 낸 짬뽕과 매콤한 중화비빔밥이 인기 메뉴입니다,짜장면,"6,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230220_151%2F1676853436248eFQtw_JPEG%2FScreenshot_20230220-090840.jpg
대구 중구 배달 중식,유창반점,중식당,대구 중구 명륜로 20,053-254-7297,,계산오거리에서 남문시장 방향 근처에 있는 중식당입니다. 돼지고기와 오징어로 국물을 낸 짬뽕과 매콤한 중화비빔밥이 인기 메뉴입니다,중화비빔면,"9,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230220_125%2F1676853481388M4CeQ_JPEG%2FScreenshot_20230220-090905.jpg
대구 중구 배달 중식,유창반점,중식당,대구 중구 명륜로 20,053-254-7297,,계산오거리에서 남문시장 방향 근처에 있는 중식당입니다. 돼지고기와 오징어로 국물을 낸 짬뽕과 매콤한 중화비빔밥이 인기 메뉴입니다,군만두,"7,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230220_175%2F1676853636929I0CBd_JPEG%2FScreenshot_20230220-090954.jpg
대구 중구 배달 중식,만리장성,중식당,대구 중구 공평로 95,408-2662-4566,,"맛있는 짜장면과 짬뽕, 중화요리를 만들어 드려요!
50년 전통 SBS 방송 중국집!",짜장면,"5,000원",
대구 중구 배달 중식,만리장성,중식당,대구 중구 공평로 95,408-2662-4566,,"맛있는 짜장면과 짬뽕, 중화요리를 만들어 드려요!
50년 전통 SBS 방송 중국집!",짬뽕,"6,000원",
대구 중구 배달 중식,만리장성,중식당,대구 중구 공평로 95,408-2662-4566,,"맛있는 짜장면과 짬뽕, 중화요리를 만들어 드려요!
50년 전통 SBS 방송 중국집!",우동,"6,000원",
대구 중구 배달 중식,만리장성,중식당,대구 중구 공평로 95,408-2662-4566,,"맛있는 짜장면과 짬뽕, 중화요리를 만들어 드려요!
50년 전통 SBS 방송 중국집!",탕수육 미니,"7,000원",
대구 중구 배달 중식,만리장성,중식당,대구 중구 공평로 95,408-2662-4566,,"맛있는 짜장면과 짬뽕, 중화요리를 만들어 드려요!
50년 전통 SBS 방송 중국집!",탕수육 소,"10,000원",
대구 중구 배달 중식,만리장성,중식당,대구 중구 공평로 95,408-2662-4566,,"맛있는 짜장면과 짬뽕, 중화요리를 만들어 드려요!
50년 전통 SBS 방송 중국집!",탕수육 중,"15,000원",
대구 중구 배달 중식,만리장성,중식당,대구 중구 공평로 95,408-2662-4566,,"맛있는 짜장면과 짬뽕, 중화요리를 만들어 드려요!
50년 전통 SBS 방송 중국집!",탕수육 대,"20,000원",
대구 중구 배달 중식,만리장성,중식당,대구 중구 공평로 95,408-2662-4566,,"맛있는 짜장면과 짬뽕, 중화요리를 만들어 드려요!
50년 전통 SBS 방송 중국집!",탕수육 특대,"25,000원",
대구 중구 배달 중식,사천노마훠궈종로점,중식당,대구 중구 종로 48,0507-1420-3822,,"대구에서 10년 넘어 사천 정통의 자부심을 지켜온 '사천노마훠궈'입니다. 장인 정신으로 빚어낸 비법 육수와 10년의 내공이 담긴 전문성으로 중국 훠궈 문화의 진수를 선보입니다. 대구에서 만나는 가장 완벽하고 깊이 있는 정통 훠궈의 맛, 그 특별한 경험을 선사합니다.",노마양등뼈 스페셜 평일런치,"24,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211207_82%2F16388368197768cPOy_JPEG%2FKakaoTalk_20211207_092019204_22.jpg
대구 중구 배달 중식,사천노마훠궈종로점,중식당,대구 중구 종로 48,0507-1420-3822,,"대구에서 10년 넘어 사천 정통의 자부심을 지켜온 '사천노마훠궈'입니다. 장인 정신으로 빚어낸 비법 육수와 10년의 내공이 담긴 전문성으로 중국 훠궈 문화의 진수를 선보입니다. 대구에서 만나는 가장 완벽하고 깊이 있는 정통 훠궈의 맛, 그 특별한 경험을 선사합니다.",모듬고기 무한리필 평일런치,"20,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260309_190%2F1773007937933oH9Kb_PNG%2FIMG_9495.png
