keyword,name,category,address,phone,open_hours,description,menu,price,image
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요",[가성비굳] 첨벙숙성회 도시락(가격),"29,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http%3A%2F%2Fimagefarm.baemin.com%2Fsmartmenuimage%2Fupload%2Fimage%2F2026%2F3%2F15%2FNdo3k_Kg45LZSuL9y6KyHmAwzQCLDhdT4i3lQQHcdJb1jtyP68UC9rnpB5j6eu0KvxeE80WVplY3sYjq6H7-vQ%3D%3D.jpg
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요",첨벙 나홀로 모듬숙성회(가격),"35,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http%3A%2F%2Fimagefarm.baemin.com%2Fsmartmenuimage%2Fupload%2Fimage%2F2025%2F8%2F8%2F-bFfbUWbWkvFEKCkOAbMTtgsMhqzpc-UdPXCVvTWfFgaDy_z6IYqSKt2ZH7W9trmdycJeXx7Ywsgx_hUfeiudw%3D%3D.jpg
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요",연어김밥(후토마끼)(1인분),"13,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http%3A%2F%2Fimagefarm.baemin.com%2Fsmartmenuimage%2Fupload%2Fimage%2F2025%2F9%2F2%2FVUjdF3NbsP-CABe4iiQFvPcxIdweinCKlQBgvNkCm1of2mMYdvlbT62BrMnq95NDTkP17wiz9KIA4NBDcjSj-w%3D%3D.jpg
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요",숙성 大광어(소 (일반 광어랑 확실히)),"58,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http%3A%2F%2Fimagefarm.baemin.com%2Fsmartmenuimage%2Fimage_library%2F20220630%2Fr_20220630_355.jpg
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요",숙성 大광어(대 ( 맛차이가 다릅니다)),"78,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http%3A%2F%2Fimagefarm.baemin.com%2Fsmartmenuimage%2Fimage_library%2F20220630%2Fr_20220630_355.jpg
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요",첨벙 물회(물회),"24,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http%3A%2F%2Fimagefarm.baemin.com%2Fsmartmenuimage%2Fupload%2Fimage%2F2025%2F9%2F4%2FL1NKuhiKN7KjgELKyc-W1jIlsrJzrLYQF66NI5S0E1ltU9TYmRmR_Pe08pvFhcld.jpg
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요","모듬숙성회 연어, 광어, 참돔, 제철생선(작은사이즈)","56,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http%3A%2F%2Fimagefarm.baemin.com%2Fsmartmenuimage%2Fupload%2Fimage%2F2025%2F8%2F8%2FL4CdSnm8N-nQmhGKPEDzfXtp4QQTE1S1F2ZGdIcPrlae_jW__uS6s716R6vGblcqhOr9ha-hfDHsJJ1CcSgG3w%3D%3D.jpg
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요","모듬숙성회 연어, 광어, 참돔, 제철생선(큰사이즈)","76,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http%3A%2F%2Fimagefarm.baemin.com%2Fsmartmenuimage%2Fupload%2Fimage%2F2025%2F8%2F8%2FL4CdSnm8N-nQmhGKPEDzfXtp4QQTE1S1F2ZGdIcPrlae_jW__uS6s716R6vGblcqhOr9ha-hfDHsJJ1CcSgG3w%3D%3D.jpg
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요",[맛잘알픽] 알곤이볶음(맛보기),"20,000원",
대구 중구 배달 한식 전문점,첨벙 교동점,생선회,대구 중구 국채보상로 631,0507-1336-6933,,".다양한 맛있는 반찬과 두툼한 신선한 회

.웨이팅은 캐치테이블로 부탁드립니다

.점심 회덮밥 가능하십니다

.배달.포장도 가능하십니다
배달의민족 확인해주세요",[맛잘알픽] 알곤이볶음(2인),"39,000원",
